machine_id,machine_name,machine_type,production_line,installation_date
M001,Machine_01,CNC,Line-1,2021-01-31
M002,Machine_02,Press,Line-2,2019-07-26
M003,Machine_03,CNC,Line-5,2018-12-23
M004,Machine_04,Cutting,Line-4,2018-05-11
M005,Machine_05,CNC,Line-1,2020-06-14
M006,Machine_06,Press,Line-5,2024-10-01
M007,Machine_07,CNC,Line-5,2020-03-25
M008,Machine_08,Cutting,Line-4,2020-06-21
M009,Machine_09,Injection,Line-5,2021-02-13
M010,Machine_10,CNC,Line-2,2022-09-28
M011,Machine_11,Assembly,Line-3,2019-09-29
M012,Machine_12,Press,Line-3,2019-02-23
M013,Machine_13,CNC,Line-4,2019-02-01
M014,Machine_14,Assembly,Line-3,2024-10-08
M015,Machine_15,Assembly,Line-1,2023-02-25
M016,Machine_16,Cutting,Line-1,2022-03-31
M017,Machine_17,CNC,Line-5,2021-04-15
M018,Machine_18,Cutting,Line-3,2024-06-22
M019,Machine_19,Press,Line-1,2018-07-07
M020,Machine_20,Press,Line-3,2018-11-23
