maintenance_id,machine_id,maintenance_date,maintenance_type,maintenance_cost
MT00001,M002,2025-04-02,Inspection,90.2
MT00002,M002,2025-06-19,Corrective,1054.81
MT00003,M009,2025-01-16,Inspection,113.28
MT00004,M007,2025-12-13,Corrective,1249.35
MT00005,M008,2025-05-09,Preventive,668.84
MT00006,M007,2025-05-08,Preventive,344.31
MT00007,M003,2025-11-21,Preventive,340.03
MT00008,M017,2025-11-17,Preventive,522.02
MT00009,M013,2025-09-04,Inspection,131.98
MT00010,M016,2025-02-08,Inspection,273.77
MT00011,M010,2025-12-04,Inspection,312.82
MT00012,M004,2025-11-25,Corrective,473.63
MT00013,M016,2025-02-23,Corrective,2273.92
MT00014,M003,2025-10-05,Inspection,306.73
MT00015,M011,2025-02-14,Emergency,4938.25
MT00016,M014,2025-09-09,Corrective,895.48
MT00017,M002,2025-04-26,Preventive,580.58
MT00018,M003,2025-05-21,Corrective,1706.87
MT00019,M011,2025-08-03,Corrective,593.34
MT00020,M016,2025-07-22,Preventive,209.74
MT00021,M014,2025-06-29,Corrective,1064.47
MT00022,M014,2025-12-20,Corrective,2035.62
MT00023,M007,2025-08-12,Preventive,437.11
MT00024,M015,2025-07-10,Corrective,1371.23
MT00025,M015,2025-12-13,Inspection,119.35
MT00026,M019,2025-02-03,Corrective,2431.57
MT00027,M020,2025-12-22,Corrective,2054.24
MT00028,M016,2025-09-10,Preventive,150.68
MT00029,M001,2025-09-08,Corrective,666.61
MT00030,M014,2025-11-28,Preventive,653.66
MT00031,M006,2025-05-22,Preventive,437.6
MT00032,M001,2025-05-29,Emergency,3797.58
MT00033,M018,2025-01-06,Preventive,473.04
MT00034,M014,2025-11-23,Inspection,396.03
MT00035,M011,2025-05-27,Preventive,691.77
MT00036,M003,2025-06-07,Corrective,1783.24
MT00037,M010,2025-10-04,Preventive,540.68
MT00038,M009,2025-09-19,Corrective,1664.66
MT00039,M001,2025-04-10,Corrective,839.99
MT00040,M013,2025-10-25,Preventive,509.39
MT00041,M001,2025-07-26,Corrective,1761.16
MT00042,M012,2025-04-16,Corrective,2437.23
MT00043,M010,2025-09-09,Corrective,1088.13
MT00044,M013,2025-12-28,Corrective,2262.33
MT00045,M005,2025-04-20,Preventive,319.43
MT00046,M001,2025-08-03,Preventive,742.16
MT00047,M005,2025-02-27,Preventive,262.65
MT00048,M009,2025-08-24,Preventive,199.42
MT00049,M010,2025-03-25,Preventive,639.1
MT00050,M001,2025-12-21,Inspection,263.04
MT00051,M015,2025-06-11,Preventive,301.07
MT00052,M005,2025-05-27,Inspection,291.04
MT00053,M005,2025-08-06,Preventive,675.17
MT00054,M014,2025-05-10,Corrective,405.13
MT00055,M017,2025-10-12,Preventive,188.6
MT00056,M005,2025-02-05,Preventive,315.79
MT00057,M017,2025-09-27,Inspection,296.63
MT00058,M015,2025-08-08,Preventive,575.91
MT00059,M013,2025-05-03,Corrective,1686.48
MT00060,M008,2025-11-05,Preventive,641.3
