production_id,machine_id,product_id,production_datetime,shift,planned_units,produced_units,defective_units
PR00001,M005,P009,2025-10-15 17:30:00,B,898,756,45
PR00002,M014,P010,2025-02-16 01:00:00,A,456,415,20
PR00003,M004,P011,2025-07-17 12:45:00,C,841,603,26
PR00004,M001,P012,2025-05-17 20:30:00,C,414,314,4
PR00005,M020,P004,2025-05-15 16:15:00,A,819,879,35
PR00006,M012,P015,2025-07-11 05:00:00,B,913,742,5
PR00007,M018,P013,2025-05-03 01:15:00,A,880,968,9
PR00008,M020,P007,2025-03-07 21:45:00,A,862,693,24
PR00009,M015,P002,2025-10-04 23:15:00,A,619,519,28
PR00010,M008,P001,2025-04-26 02:30:00,A,321,269,5
PR00011,M009,P011,2025-12-29 20:00:00,B,534,428,14
PR00012,M016,P013,2025-04-20 17:15:00,B,884,826,15
PR00013,M004,P001,2025-04-08 03:00:00,B,974,818,37
PR00014,M014,P003,2025-06-23 03:15:00,B,496,409,12
PR00015,M018,P014,2025-08-25 07:00:00,A,753,771,32
PR00016,M013,P015,2025-02-17 07:15:00,A,716,628,11
PR00017,M018,P011,2025-03-26 12:00:00,C,699,578,16
PR00018,M018,P001,2025-09-07 04:15:00,C,603,444,4
PR00019,M017,P002,2025-06-10 01:00:00,A,898,838,7
PR00020,M019,P004,2025-02-05 19:00:00,C,991,1000,27
PR00021,M011,P004,2025-11-01 01:00:00,B,729,669,13
PR00022,M003,P001,2025-07-22 04:30:00,B,768,628,29
PR00023,M003,P015,2025-11-15 18:00:00,A,375,324,8
PR00024,M020,P013,2025-07-09 09:15:00,C,748,762,33
PR00025,M018,P003,2025-09-28 00:30:00,B,979,761,41
PR00026,M009,P009,2025-05-25 19:15:00,B,651,497,20
PR00027,M009,P003,2025-05-09 01:00:00,C,949,827,39
PR00028,M005,P009,2025-08-15 17:45:00,A,874,635,6
PR00029,M002,P015,2025-07-09 18:15:00,B,740,540,26
PR00030,M014,P010,2025-04-18 21:15:00,C,982,813,39
PR00031,M014,P013,2025-03-21 07:15:00,C,481,555,13
PR00032,M016,P004,2025-05-08 08:15:00,A,410,361,3
PR00033,M003,P013,2025-08-24 11:30:00,B,533,408,8
PR00034,M001,P002,2025-06-29 20:45:00,B,995,1038,36
PR00035,M020,P009,2025-04-02 18:30:00,A,339,205,5
PR00036,M017,P015,2025-07-17 18:15:00,C,560,435,13
PR00037,M004,P012,2025-12-18 23:15:00,B,672,663,26
PR00038,M005,P004,2025-09-17 09:45:00,B,634,523,11
PR00039,M007,P007,2025-12-07 12:15:00,C,930,805,17
PR00040,M017,P008,2025-11-07 20:30:00,C,776,719,30
PR00041,M008,P011,2025-03-28 21:00:00,B,590,513,26
PR00042,M020,P014,2025-04-26 06:15:00,A,325,216,13
PR00043,M004,P013,2025-08-22 13:15:00,B,693,624,3
PR00044,M004,P008,2025-04-23 05:45:00,A,351,374,21
PR00045,M018,P008,2025-08-26 21:30:00,A,753,700,35
PR00046,M017,P008,2025-09-01 14:30:00,C,553,525,11
PR00047,M003,P003,2025-05-03 08:45:00,A,379,373,20
PR00048,M018,P008,2025-04-29 12:15:00,B,519,417,11
PR00049,M019,P007,2025-02-01 06:45:00,B,698,683,36
PR00050,M014,P009,2025-01-04 11:30:00,C,699,691,40
PR00051,M013,P012,2025-10-07 19:15:00,A,799,631,15
PR00052,M003,P011,2025-08-28 04:00:00,B,703,659,27
PR00053,M013,P005,2025-03-11 14:15:00,B,351,268,6
PR00054,M012,P004,2025-05-10 02:45:00,C,319,350,3
PR00055,M005,P008,2025-02-05 20:00:00,C,331,354,5
PR00056,M006,P010,2025-02-28 18:15:00,C,776,761,36
PR00057,M013,P007,2025-02-28 05:30:00,C,410,422,23
PR00058,M020,P013,2025-04-12 02:15:00,A,404,372,8
PR00059,M014,P014,2025-10-17 01:30:00,B,845,710,17
PR00060,M005,P007,2025-02-24 13:30:00,A,950,1019,31
PR00061,M019,P005,2025-09-25 20:30:00,B,930,901,26
PR00062,M020,P011,2025-05-06 02:30:00,B,761,605,18
PR00063,M020,P012,2025-06-22 00:45:00,B,632,511,12
PR00064,M018,P013,2025-10-12 00:15:00,A,387,373,10
PR00065,M010,P011,2025-12-20 15:45:00,C,758,783,34
PR00066,M012,P012,2025-07-08 15:30:00,B,735,807,28
PR00067,M006,P004,2025-05-19 09:30:00,A,536,415,14
PR00068,M012,P003,2025-09-05 08:30:00,B,402,426,9
PR00069,M016,P002,2025-01-08 22:15:00,A,580,455,26
PR00070,M002,P005,2025-10-21 09:45:00,B,790,704,11
PR00071,M019,P005,2025-02-28 02:45:00,A,803,592,8
PR00072,M017,P007,2025-05-08 03:45:00,B,920,851,33
PR00073,M007,P011,2025-08-15 09:45:00,A,612,648,7
PR00074,M006,P001,2025-05-16 21:00:00,B,460,404,14
PR00075,M003,P011,2025-08-19 22:45:00,A,598,431,23
PR00076,M005,P015,2025-05-16 20:15:00,B,735,587,10
PR00077,M015,P002,2025-03-14 02:00:00,B,469,418,23
PR00078,M003,P010,2025-12-19 09:45:00,A,578,484,16
PR00079,M019,P010,2025-08-10 23:30:00,A,918,819,42
PR00080,M009,P003,2025-12-11 08:00:00,C,479,475,19
PR00081,M006,P006,2025-08-12 20:45:00,B,393,324,3
PR00082,M018,P001,2025-12-22 15:30:00,B,978,1054,52
PR00083,M001,P011,2025-02-15 10:30:00,C,631,491,25
PR00084,M016,P011,2025-08-25 13:00:00,B,492,377,15
PR00085,M001,P011,2025-01-27 06:30:00,C,862,644,20
PR00086,M003,P004,2025-05-03 22:15:00,A,618,638,23
PR00087,M016,P008,2025-08-25 03:15:00,A,810,841,23
PR00088,M005,P014,2025-08-22 17:15:00,A,692,599,23
PR00089,M019,P011,2025-05-22 13:30:00,B,819,725,37
PR00090,M013,P008,2025-03-18 14:45:00,B,653,549,26
PR00091,M016,P012,2025-04-07 22:15:00,B,885,781,18
PR00092,M019,P006,2025-07-17 21:15:00,A,807,833,10
PR00093,M016,P013,2025-08-14 03:45:00,B,315,266,4
PR00094,M018,P007,2025-06-23 19:45:00,B,965,750,17
PR00095,M008,P012,2025-11-17 22:45:00,A,854,671,37
